0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:28 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:29 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:29 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:29 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:29 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:30 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:30 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:30 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:30 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:30 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:31 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:31 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:31 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:37 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:37 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:38 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:38 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:38 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:38 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:38 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:39 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [23/Aug/2016:21:19:39 -0300] "POST /Vendas/produtos/PesquisaProdutos.xhtml HTTP/1.1" 200 209
