0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 14676
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:46:18 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 15334
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:19 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:23 -0300] "POST /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:53:27 -0300] "POST /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 15333
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml?ln=algaworks HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2016:22:54:02 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
